timestamp,date,activity
2003-03-18 15:00:00,2003-03-18,60
2003-03-18 15:01:00,2003-03-18,0
2003-03-18 15:02:00,2003-03-18,264
2003-03-18 15:03:00,2003-03-18,662
2003-03-18 15:04:00,2003-03-18,293
2003-03-18 15:05:00,2003-03-18,0
2003-03-18 15:06:00,2003-03-18,322
2003-03-18 15:07:00,2003-03-18,1102
2003-03-18 15:08:00,2003-03-18,1067
2003-03-18 15:09:00,2003-03-18,239
2003-03-18 15:10:00,2003-03-18,1174
2003-03-18 15:11:00,2003-03-18,121
2003-03-18 15:12:00,2003-03-18,37
2003-03-18 15:13:00,2003-03-18,231
2003-03-18 15:14:00,2003-03-18,394
2003-03-18 15:15:00,2003-03-18,161
2003-03-18 15:16:00,2003-03-18,76
2003-03-18 15:17:00,2003-03-18,40
2003-03-18 15:18:00,2003-03-18,60
2003-03-18 15:19:00,2003-03-18,80
2003-03-18 15:20:00,2003-03-18,18
2003-03-18 15:21:00,2003-03-18,141
2003-03-18 15:22:00,2003-03-18,30
2003-03-18 15:23:00,2003-03-18,12
2003-03-18 15:24:00,2003-03-18,60
2003-03-18 15:25:00,2003-03-18,86
2003-03-18 15:26:00,2003-03-18,111
2003-03-18 15:27:00,2003-03-18,20
2003-03-18 15:28:00,2003-03-18,7
2003-03-18 15:29:00,2003-03-18,90
2003-03-18 15:30:00,2003-03-18,136
2003-03-18 15:31:00,2003-03-18,83
2003-03-18 15:32:00,2003-03-18,53
2003-03-18 15:33:00,2003-03-18,188
2003-03-18 15:34:00,2003-03-18,70
2003-03-18 15:35:00,2003-03-18,156
2003-03-18 15:36:00,2003-03-18,131
2003-03-18 15:37:00,2003-03-18,141
2003-03-18 15:38:00,2003-03-18,90
2003-03-18 15:39:00,2003-03-18,63
2003-03-18 15:40:00,2003-03-18,57
2003-03-18 15:41:00,2003-03-18,168
2003-03-18 15:42:00,2003-03-18,111
2003-03-18 15:43:00,2003-03-18,60
2003-03-18 15:44:00,2003-03-18,28
2003-03-18 15:45:00,2003-03-18,8
2003-03-18 15:46:00,2003-03-18,76
2003-03-18 15:47:00,2003-03-18,60
2003-03-18 15:48:00,2003-03-18,33
2003-03-18 15:49:00,2003-03-18,141
2003-03-18 15:50:00,2003-03-18,25
2003-03-18 15:51:00,2003-03-18,86
